"","beta_global","se_global","beta_oneshot","se_oneshot","beta_onestep","se_onestep"
"(Intercept)",0.179504742985939,0.00120670223669844,0.179175746094135,0.0056458212032219,0.178905024240715,0.00138396281818536
"XROE",0.0353501232783709,0.000285253272997446,0.0341732801406249,0.00127478315588607,0.0353576242544945,0.000327156038654791
"XAsset",0.0104881445486696,0.000326289781475169,0.0102780545952819,0.00155618743753082,0.0108422523835542,0.000374220674978591
"XAL",-0.0324320463670697,0.00160874981509108,-0.039435616191876,0.00756246537924867,-0.0320318413734003,0.00184506986076393
"XPM",-0.00472152407353276,0.000316065128087816,-0.00411810920951654,0.00140478760840394,-0.00434488527148923,0.000362494053707341
"XGrowth",0.00948109036873594,0.000313838165652295,0.0105628026085701,0.00140989099785529,0.00962028110926059,0.000359939957829726
"XATO",0.00431456925058404,0.000312289964924868,0.00480420325967894,0.00142130100692864,0.0041904839035663,0.000358164331518047
